ordem,secao,faceta,campo,tipo,repetivel,grupo_repeticao,valores_admitidos,questoes,define_subconjunto,regra_extracao
1,MAPEAMENTO,Bibliographic,"Year, venue, publication type, status",composto,NAO,,,MQ1,,Preservar as datas de publicacao e de online first; codificar revisao por pares e condicao de preprint em campos separados.
2,MAPEAMENTO,Bibliographic,Authors and affiliations,composto,SIM,,,MQ1,,"Extrair organizacoes, paises e participacao academica ou industrial."
3,MAPEAMENTO,Study,Goal and research questions,aberto,NAO,,,MQ1,,Preservar a formulacao verbatim e codificar o proposito do estudo.
4,MAPEAMENTO,Study,Research method,fechado,NAO,,experiment; quasi experiment; benchmark; case study; user study; demonstration; design and evaluation; qualitative study; other,MQ1,,Classificar o desenho declarado pelo estudo.
5,MAPEAMENTO,Study,Contribution type,fechado,SIM,,tool; method; model; framework; dataset; benchmark; empirical findings; taxonomy; other,MQ1,,Um estudo pode contribuir em mais de uma categoria.
6,MAPEAMENTO,Artifact,DiagramType,fechado,NAO,,class diagram; use case diagram; sequence diagram; activity diagram; state machine diagram; state diagram; component diagram; deployment diagram; object diagram; communication diagram; package diagram; composite structure diagram; timing diagram; interaction overview diagram; multiple UML types; unclear,MQ2,,"Nao repetivel porque a lista do protocolo ja oferece ""multiple UML types""."
7,MAPEAMENTO,Artifact,GenerationTask,fechado,NAO,,generation; transformation; completion; repair; refinement; iterative revision; mixed task; unclear,MQ2,,"Nao repetivel porque a lista ja oferece ""mixed task""."
8,MAPEAMENTO,Input,InputRequirementForm,fechado,NAO,,requirements document; user stories; use case narratives; scenarios; problem statements; domain descriptions; structured specifications; mixed textual input; unclear,MQ2,,"Nao repetivel porque a lista ja oferece ""mixed textual input""."
9,MAPEAMENTO,Input,Input structure and quality,composto,NAO,,free text; template; semi structured; structured,MQ2,,"Alem da estrutura, registrar ambiguidade, inconsistencia, incompletude ou pre-processamento reportados."
10,MAPEAMENTO,Domain and data,Application domain and dataset,composto,NAO,,,MQ2,,"Dominio de aplicacao, condicao publica ou privada, tamanho, proveniencia e disponibilidade de referencia."
11,MAPEAMENTO,LLM,ModelFamily,aberto,SIM,MODELO,exemplos do protocolo: GPT; ChatGPT; Claude; Gemini; Llama; Qwen; DeepSeek; T5; BART; BERT; RoBERTa; other,MQ3,,"Familia ou nome EXATO reportado pelo estudo. Repetivel: comparacao entre modelos e comum. Vocabulario nativo primeiro, sem normalizar versao."
12,MAPEAMENTO,LLM,ModelArchitectureOrAccessMode,fechado,SIM,MODELO,autoregressive; encoder-decoder; encoder-only; conversational/instructional; API-based; open-weight; fine-tuned; unclear; not reported,MQ3,,Repetivel: uma ocorrencia por modelo declarado em ModelFamily.
13,MAPEAMENTO,LLM,GenerativeOrInstructionalUse,fechado,NAO,,yes; no; unclear,MQ3,,Ancora do RF-01.
14,MAPEAMENTO,LLM,LLMRoleInPipeline,fechado,NAO,,semantic content generator; semantic content reviser; candidate proposer; surface formatter; syntax repairer; validator; evaluator only; preprocessor only; embedding or classifier only; unclear,MQ3,,"Papel operacional, nao autoidentificacao."
15,MAPEAMENTO,LLM,SemanticContentAuthority,fechado,NAO,,LLM-determined; hybrid LLM-symbolic; symbolic/rule-determined; unclear,MQ3,,Ancora do RF-02: quem determina o conteudo semantico do diagrama.
16,MAPEAMENTO,LLM,SymbolicPipelineRole,fechado,SIM,,none reported; formatting; serialization; validation; rendering; syntax repair; semantic rule generation; content generation; unclear,MQ3,,Repetivel: o mesmo pipeline pode ter varios componentes simbolicos.
17,MAPEAMENTO,LLM,SubstantiveLLMUseDecision,fechado,NAO,,included as substantive LLM use; excluded as non-substantive language-model use; unclear at title and abstract; resolved at full text,MQ3,,"Registra a decisao da revisao, nao um dado do estudo."
18,MAPEAMENTO,LLM,BoundaryDecisionRationale,aberto,NAO,,,MQ3,,"Explicacao curta de como se decidiu se o modelo teve papel substantivo. Indicar explicitamente RF-01, RF-02 ou RF-03."
19,MAPEAMENTO,Context,DomainKnowledgeProvided,fechado,SIM,,none reported; implicit in requirements; explicit domain description; examples; ontology or structured knowledge; retrieval augmented context; expert-provided context; unclear,SQ6,,Repetivel: as fontes de conhecimento se somam.
20,MAPEAMENTO,Context,UMLTechnicalInstructionProvided,fechado,SIM,,none reported; notation instruction; metamodel or well-formedness instruction; PlantUML syntax instruction; examples; tool or parser feedback; unclear,SQ6,,Repetivel.
21,MAPEAMENTO,Context,PromptingOrContextStrategy,fechado,NAO,,zero-shot; few-shot; chain-of-thought or reasoning instruction; retrieval augmented generation; iterative prompting; agentic workflow; fine tuning; tool feedback loop; mixed; unclear,MQ3,,"Nao repetivel porque a lista ja oferece ""mixed""."
22,MAPEAMENTO,Context,Adaptation and orchestration,composto,SIM,,fine tuning; preference optimization; agents; tools; self correction; iterative feedback; none,MQ3,,
23,MAPEAMENTO,Inference,Sampling and repetition,composto,NAO,,,MQ3,,"Temperature, top p, top k, semente, numero de geracoes e politica de selecao. NAO inferir parametro nao reportado (l. 1554)."
24,MAPEAMENTO,Output,OutputRepresentation,fechado,NAO,,PlantUML code; rendered UML diagram; XMI; textual UML description; image; mixed representation; other explicit UML representation; unclear,MQ2,,"Nao repetivel porque a lista ja oferece ""mixed representation""."
25,MAPEAMENTO,Output,PlantUMLGenerated,fechado,NAO,,yes; no; unclear,MQ2,,Protocolo l. 176: saida PlantUML so e elegivel quando pretende codificar UML.
26,MAPEAMENTO,Evaluation,Dimensions and baselines,composto,NAO,,,MQ4,,"Dimensoes de qualidade reportadas, condicoes de comparacao, baseline humano, baseline por regras, ou ausencia de baseline."
27,MAPEAMENTO,Open science,"Data, prompts, code, models, and replication package",composto,NAO,,,MQ1,,"Disponibilidade, identificador persistente, restricoes de acesso e completude."
28,QUALIDADE,Axis,QualityAxisL,fechado,NAO,,absent; textual validity; UML conformity,,SQ4,"Relacao modelo-linguagem (Krogstie). Espelha a coluna eixo_L do CSV mestre. Nunca colapsar L, D e U numa escala unica. Campo INSTRUMENTO da revisao: nao e dado de resposta de pergunta nenhuma, e por isso a coluna questoes fica vazia. Define o subconjunto da SQ4 junto com o eixo D. PROJECAO do campo SyntacticQualityConstruct sobre dois NIVEIS (l. 182-183 e l. 1360): textual validity, rendering validity, PlantUML parseability e notation-level validity -> ""textual validity""; UML syntactic conformity, metamodel conformance e well-formedness -> ""UML conformity"". Rodada de renderizador ou de parser NAO e ""absent"". ESCADA: o eixo carrega UM valor por estudo e o construto e repetivel, entao o eixo registra o NIVEL MAIS EXIGENTE avaliado — afirma o que foi avaliado, nao que um nivel implica o outro; o inventario fica no campo do construto."
29,QUALIDADE,Axis,QualityAxisD,fechado,NAO,,absent; claimed only; source requirements; reference model; expert judgment; rubric,,SQ4,"Relacao modelo-dominio. Espelha eixo_D. Define o subconjunto da SQ4 junto com o eixo L. A006 secao 4: SQ1 a SQ3 foram para o CORPUS INTEIRO e este eixo NAO as condiciona mais. Campo INSTRUMENTO da revisao: nao e dado de resposta de pergunta nenhuma, e por isso a coluna questoes fica vazia."
