versao,data,codigo,tipo_mudanca,o_que_mudou,motivo,estudos_ja_codificados,acao_retrospectiva,autor
1.0,2026-08-18,concrete representation,CRIACAO,"valor alterado de ""concrete syntax"" para ""concrete representation"" na resolucao do item 8c (commit 26f1619). A l. 181 reserva ""syntax"" ao nivel ABSTRATO e a l. 180 declara que validade textual nao estabelece conformidade UML; o par concrete/abstract syntax sugeriria entre os dois niveis uma continuidade que a tese existe para mostrar descolada.","Cumprir a l. 1634, que exige codebook versionado com definicao, regra de inclusao, regra de exclusao, exemplo positivo, exemplo negativo, categoria pai, portadores admitidos e historico. O artefato nao existia e a l. 1624 o exige ANTES do piloto.",0,nenhuma: nenhum estudo codificado (extracao.csv com zero linhas). Esta e a ultima janela em que uma mudanca de categoria custa zero recodificacao.,HB
1.0,2026-08-18,UML abstract syntax,CRIACAO,"codigo criado com o valor literal da l. 1613 do protocolo, sem alteracao.","Cumprir a l. 1634, que exige codebook versionado com definicao, regra de inclusao, regra de exclusao, exemplo positivo, exemplo negativo, categoria pai, portadores admitidos e historico. O artefato nao existia e a l. 1624 o exige ANTES do piloto.",0,nenhuma: nenhum estudo codificado (extracao.csv com zero linhas). Esta e a ultima janela em que uma mudanca de categoria custa zero recodificacao.,HB
1.0,2026-08-18,UML construct semantics,CRIACAO,"codigo criado com o valor literal da l. 1613 do protocolo, sem alteracao.","Cumprir a l. 1634, que exige codebook versionado com definicao, regra de inclusao, regra de exclusao, exemplo positivo, exemplo negativo, categoria pai, portadores admitidos e historico. O artefato nao existia e a l. 1624 o exige ANTES do piloto.",0,nenhuma: nenhum estudo codificado (extracao.csv com zero linhas). Esta e a ultima janela em que uma mudanca de categoria custa zero recodificacao.,HB
1.0,2026-08-18,domain or requirements semantics,CRIACAO,"codigo criado com o valor literal da l. 1613 do protocolo, sem alteracao.","Cumprir a l. 1634, que exige codebook versionado com definicao, regra de inclusao, regra de exclusao, exemplo positivo, exemplo negativo, categoria pai, portadores admitidos e historico. O artefato nao existia e a l. 1624 o exige ANTES do piloto.",0,nenhuma: nenhum estudo codificado (extracao.csv com zero linhas). Esta e a ultima janela em que uma mudanca de categoria custa zero recodificacao.,HB
1.0,2026-08-18,cross diagram consistency,CRIACAO,"valor alterado de ""cross model consistency"" para ""cross diagram consistency"" na resolucao do item 8c (commit 26f1619). O que se viola e a consistencia entre diagramas de UM MESMO modelo.","Cumprir a l. 1634, que exige codebook versionado com definicao, regra de inclusao, regra de exclusao, exemplo positivo, exemplo negativo, categoria pai, portadores admitidos e historico. O artefato nao existia e a l. 1624 o exige ANTES do piloto.",0,nenhuma: nenhum estudo codificado (extracao.csv com zero linhas). Esta e a ultima janela em que uma mudanca de categoria custa zero recodificacao.,HB
1.0,2026-08-18,intended engineering task,CRIACAO,"valor alterado de ""intended use"" para ""intended engineering task"" na resolucao do item 8c (commit 26f1619). A l. 185, definicao operacional de Inadequacy, nomeia a tricotomia ""language, semantic, or TASK reference""; ""engineering"" desambigua do campo 7 GenerationTask.","Cumprir a l. 1634, que exige codebook versionado com definicao, regra de inclusao, regra de exclusao, exemplo positivo, exemplo negativo, categoria pai, portadores admitidos e historico. O artefato nao existia e a l. 1624 o exige ANTES do piloto.",0,nenhuma: nenhum estudo codificado (extracao.csv com zero linhas). Esta e a ultima janela em que uma mudanca de categoria custa zero recodificacao.,HB
1.0,2026-08-18,omission,CRIACAO,"codigo criado com o valor literal da l. 1614 do protocolo, sem alteracao.","Cumprir a l. 1634, que exige codebook versionado com definicao, regra de inclusao, regra de exclusao, exemplo positivo, exemplo negativo, categoria pai, portadores admitidos e historico. O artefato nao existia e a l. 1624 o exige ANTES do piloto.",0,nenhuma: nenhum estudo codificado (extracao.csv com zero linhas). Esta e a ultima janela em que uma mudanca de categoria custa zero recodificacao.,HB
1.0,2026-08-18,unsupported addition,CRIACAO,"codigo criado com o valor literal da l. 1614 do protocolo, sem alteracao.","Cumprir a l. 1634, que exige codebook versionado com definicao, regra de inclusao, regra de exclusao, exemplo positivo, exemplo negativo, categoria pai, portadores admitidos e historico. O artefato nao existia e a l. 1624 o exige ANTES do piloto.",0,nenhuma: nenhum estudo codificado (extracao.csv com zero linhas). Esta e a ultima janela em que uma mudanca de categoria custa zero recodificacao.,HB
1.0,2026-08-18,incorrect representation,CRIACAO,"codigo criado com o valor literal da l. 1614 do protocolo, sem alteracao.","Cumprir a l. 1634, que exige codebook versionado com definicao, regra de inclusao, regra de exclusao, exemplo positivo, exemplo negativo, categoria pai, portadores admitidos e historico. O artefato nao existia e a l. 1624 o exige ANTES do piloto.",0,nenhuma: nenhum estudo codificado (extracao.csv com zero linhas). Esta e a ultima janela em que uma mudanca de categoria custa zero recodificacao.,HB
1.0,2026-08-18,incorrect classification,CRIACAO,"codigo criado com o valor literal da l. 1614 do protocolo, sem alteracao.","Cumprir a l. 1634, que exige codebook versionado com definicao, regra de inclusao, regra de exclusao, exemplo positivo, exemplo negativo, categoria pai, portadores admitidos e historico. O artefato nao existia e a l. 1624 o exige ANTES do piloto.",0,nenhuma: nenhum estudo codificado (extracao.csv com zero linhas). Esta e a ultima janela em que uma mudanca de categoria custa zero recodificacao.,HB
