ManualSearchID,ManualSearchUnitID,SourceOrdinal,InventorySourceID,MetadataSourceID,TitleRaw,TitleNormalized,AuthorsRaw,AuthorsNormalized,DOIRaw,DOINormalized,VenueRaw,VenueNormalized,YearRaw,YearNormalized,VolumeTrackIssue,PublisherRecordURL,MetadataSourceURL,Publisher,PublisherAddress,ISBN,Pages,NumPages,PublicationLocation,Series,AbstractRaw,AbstractAvailability,AbstractSourceURL,AuthorKeywordsRaw,AuthorKeywordsAvailability,FullTextURL,RetrievedAt,NormalizedAt,InventoryConflict,CrossrefSnapshotPath,PDFStatus,PDFSHA256,Notes
MS-RE-2023-MAIN-0001,MSU-RE-2023-MAIN,1,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2023-MAIN-IEEE-BIBTEX-HUMAN-20260814,Title Page,Title Page,,,,10.1109/re57278.2023.00001,2023 IEEE 31st International Requirements Engineering Conference (RE),2023 IEEE 31st International Requirements Engineering Conference (RE),2023,2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260896/,,,,,1-1,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:10:09.656675Z,2026-08-14T22:08:18Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-RE-2023-MAIN-0002,MSU-RE-2023-MAIN,2,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2023-MAIN-IEEE-BIBTEX-HUMAN-20260814,Title Page,Title Page,,,,10.1109/re57278.2023.00002,2023 IEEE 31st International Requirements Engineering Conference (RE),2023 IEEE 31st International Requirements Engineering Conference (RE),2023,2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260966/,,,,,1-1,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:10:09.656675Z,2026-08-14T22:08:18Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-RE-2023-MAIN-0003,MSU-RE-2023-MAIN,3,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2023-MAIN-IEEE-BIBTEX-HUMAN-20260814,Copyright Page,Copyright Page,,,,10.1109/re57278.2023.00003,2023 IEEE 31st International Requirements Engineering Conference (RE),2023 IEEE 31st International Requirements Engineering Conference (RE),2023,2023,10.1109/RE57278.2023,,,,,,1-1,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:10:09.656675Z,2026-08-14T22:08:18Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-RE-2023-MAIN-0004,MSU-RE-2023-MAIN,4,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2023-MAIN-IEEE-BIBTEX-HUMAN-20260814,Table of Contents,Table of Contents,,,,10.1109/re57278.2023.00004,2023 IEEE 31st International Requirements Engineering Conference (RE),2023 IEEE 31st International Requirements Engineering Conference (RE),2023,2023,10.1109/RE57278.2023,,,,,,v-xi,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:10:09.656675Z,2026-08-14T22:08:18Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-RE-2023-MAIN-0005,MSU-RE-2023-MAIN,5,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2023-MAIN-IEEE-BIBTEX-HUMAN-20260814,Welcome from the RE 2023 Organizers,Welcome from the RE 2023 Organizers,Kurt Schneider; Fabiano Dalpiaz; Jennifer Horkoff,Kurt Schneider; Fabiano Dalpiaz; Jennifer Horkoff,,10.1109/re57278.2023.00005,2023 IEEE 31st International Requirements Engineering Conference (RE),2023 IEEE 31st International Requirements Engineering Conference (RE),2023,2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260769/,,,,,xii-xv,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:10:09.656675Z,2026-08-14T22:08:18Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-RE-2023-MAIN-0006,MSU-RE-2023-MAIN,6,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2023-MAIN-IEEE-BIBTEX-HUMAN-20260814,Organizing Committee,Organizing Committee,,,,10.1109/re57278.2023.00006,2023 IEEE 31st International Requirements Engineering Conference (RE),2023 IEEE 31st International Requirements Engineering Conference (RE),2023,2023,10.1109/RE57278.2023,,,,,,xvi-xvii,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:10:09.656675Z,2026-08-14T22:08:18Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-RE-2023-MAIN-0007,MSU-RE-2023-MAIN,7,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2023-MAIN-IEEE-BIBTEX-HUMAN-20260814,Program Committee,Program Committee,,,,10.1109/re57278.2023.00007,2023 IEEE 31st International Requirements Engineering Conference (RE),2023 IEEE 31st International Requirements Engineering Conference (RE),2023,2023,10.1109/RE57278.2023,,,,,,xviii-xxii,,,,,NOT_REPORTED_BY_SOURCE,,,NOT_REPORTED_BY_SOURCE,,2026-08-14T13:10:09.656675Z,2026-08-14T22:08:18Z,false,,,,Matched to publisher BibTeX by literal title. Discovery was not executed.
MS-RE-2023-MAIN-0008,MSU-RE-2023-MAIN,8,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2023-MAIN-IEEE-BIBTEX-HUMAN-20260814,Do We Publish Credible Evidence?,Do We Publish Credible Evidence?,Claes Wohlin,Claes Wohlin,,10.1109/re57278.2023.00008,2023 IEEE 31st International Requirements Engineering Conference (RE),2023 IEEE 31st International Requirements Engineering Conference (RE),2023,2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260941/,,,,,1-1,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T13:10:09.656675Z,2026-08-14T22:08:18Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-RE-2023-MAIN-0009,MSU-RE-2023-MAIN,9,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2023-MAIN-IEEE-BIBTEX-HUMAN-20260814,A Paradigm Shift in the Automotive Industry and its Requirements,A Paradigm Shift in the Automotive Industry and its Requirements,Rainer Dammers,Rainer Dammers,,10.1109/re57278.2023.00009,2023 IEEE 31st International Requirements Engineering Conference (RE),2023 IEEE 31st International Requirements Engineering Conference (RE),2023,2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260902/,,,,,2-2,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T13:10:09.656675Z,2026-08-14T22:08:18Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
MS-RE-2023-MAIN-0010,MSU-RE-2023-MAIN,10,SRC-RE-2023-MAIN-IEEE-TOC-HUMAN-20260814,SRC-RE-2023-MAIN-IEEE-BIBTEX-HUMAN-20260814,Search-Based Software Engineering in the Era of Modern Software Systems,Search-Based Software Engineering in the Era of Modern Software Systems,Federica Sarro,Federica Sarro,,10.1109/re57278.2023.00010,2023 IEEE 31st International Requirements Engineering Conference (RE),2023 IEEE 31st International Requirements Engineering Conference (RE),2023,2023,10.1109/RE57278.2023,https://ieeexplore.ieee.org/document/10260877/,,,,,3-5,,,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,,AVAILABLE_CONTROLLED_NOT_REDISTRIBUTED,,2026-08-14T13:10:09.656675Z,2026-08-14T22:08:18Z,false,,,,Matched to publisher BibTeX by IEEE record locator equals publisher BibTeX key. Discovery was not executed.
