codigo,categoria_pai,definicao,regra_inclusao,regra_exclusao,exemplo_positivo,exemplo_negativo,procedencia_exemplo,portadores_admitidos,versao
concrete representation,REFERENCIA_VIOLADA,"A saida nao esta conforme a gramatica aceita pela representacao ou pela ferramenta de renderizacao escolhida. E o nivel da CADEIA CONCRETA -- codigo PlantUML, XMI, imagem --, nao do modelo representado. Espelha a definicao operacional de Textual validity.","Usar quando a desvio e observavel no artefato concreto: o parser rejeita, o renderizador falha, a serializacao esta malformada, a sintaxe da linguagem de representacao esta violada.","NAO usar quando a saida e textualmente valida e o defeito esta no modelo representado. A definicao de Textual validity e explicita: validade textual NAO estabelece, por si, conformidade UML. Se o PlantUML compila e ainda assim o modelo viola regra UML, a referencia violada e UML abstract syntax.",Bloco PlantUML aberto com @startuml e sem @enduml; o renderizador nao produz diagrama algum.,"PlantUML que compila e renderiza sem erro, mas em que uma associacao liga dois atores. A representacao concreta esta integra; o violado e UML abstract syntax.",construido,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,1.0
UML abstract syntax,REFERENCIA_VIOLADA,"O modelo representado viola a sintaxe abstrata da UML: construtos inadmissiveis, relacoes inadmissiveis ou restricoes de boa-formacao. Espelha a definicao operacional de UML syntactic conformity.","Usar quando a violacao e decidivel pelo metamodelo ou pela especificacao UML, independentemente do dominio: um verificador de metamodelo, ou um especialista lendo so a especificacao, decidiria sem consultar requisitos.",NAO usar quando e preciso conhecer o dominio ou os requisitos para julgar -- ai e domain or requirements semantics. NAO usar quando o construto e admissivel e bem-formado mas empregado com sentido diverso do que a UML lhe atribui -- ai e UML construct semantics.,"Relacao de generalizacao entre um ator e um caso de uso, inadmissivel no metamodelo.",Agregacao empregada onde a semantica pretendida e de composicao. As duas sao construcoes bem-formadas; o violado e UML construct semantics.,construido,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,1.0
UML construct semantics,REFERENCIA_VIOLADA,"O construto empregado e admissivel e bem-formado, mas o significado que a especificacao UML lhe atribui nao e o significado pretendido. O erro esta na ESCOLHA do construto frente ao seu significado normativo, e nao na sua legalidade.",Usar quando corrigir a desvio significa trocar um construto legal por outro construto legal cujo significado normativo e o correto.,"NAO usar quando o construto empregado e inadmissivel naquela posicao -- ai e UML abstract syntax. NAO usar quando o construto e seu significado estao certos e o que esta errado e o conteudo de dominio (que entidade, que nome, que regra) -- ai e domain or requirements semantics.",Composicao usada onde os requisitos descrevem partes que sobrevivem ao todo; a UML atribui a composicao a destruicao das partes junto com o composto.,"Uma associacao correta em tipo, ligando Pedido a Fornecedor quando os requisitos ligam Pedido a Cliente. O construto e seu significado normativo estao certos; o violado e domain or requirements semantics.",construido,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,1.0
domain or requirements semantics,REFERENCIA_VIOLADA,"O diagrama contradiz ou nao cobre o referencial semantico definido -- requisitos, descricao de dominio, modelo de referencia anotado, gold standard, rubrica ou julgamento de especialista. Cobre tanto correcao semantica quanto completude semantica.","Usar quando o julgamento EXIGE consultar o referencial semantico: um leitor com a especificacao UML na mao, mas sem os requisitos, nao conseguiria decidir se ha desvio.","NAO usar quando a violacao e decidivel so pela UML. NAO usar quando o defeito e a contradicao entre dois diagramas do mesmo modelo, ainda que cada um isolado seja plausivel no dominio -- ai e cross diagram consistency.",Os requisitos descrevem tres perfis de usuario e o diagrama de casos de uso traz dois.,"O diagrama de classes declara a operacao cancelar e o diagrama de sequencia invoca anular. Cada um, isolado, e compativel com os requisitos; o violado e cross diagram consistency.",construido,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,1.0
cross diagram consistency,REFERENCIA_VIOLADA,"Dois ou mais diagramas do MESMO modelo se contradizem. O referencial violado e interno ao modelo gerado, e nao externo a ele. O par correto e ""cross diagram"" e nao ""cross model"": o que se viola e a consistencia entre diagramas de um mesmo modelo.","Exige que a evidencia envolva ao menos DOIS diagramas, do mesmo tipo ou de tipos diferentes. Registrar affected diagram entre os portadores, alem do portador local onde a contradicao se manifesta.","NAO usar quando so um diagrama esta em jogo, mesmo que ele seja internamente incoerente: nesse caso a operacao pode ser inconsistency, mas a referencia violada e aquela que o julgamento exigiu, UML ou dominio.",Uma mensagem no diagrama de sequencia invoca operacao que nao existe na classe correspondente do diagrama de classes.,Um unico diagrama de estados com duas transicoes de saida sob guardas nao disjuntas. E incoerencia interna a um diagrama so; o violado e UML abstract syntax.,construido,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,1.0
intended engineering task,REFERENCIA_VIOLADA,"O diagrama nao sustenta a atividade de engenharia definida, para um ator e um contexto especificados. Espelha a definicao operacional de Pragmatic adequacy e mantem a ancora da tricotomia da a definicao operacional correspondente, que nomeia referencia de linguagem, semantica ou TAREFA.","Usar quando o estudo DEFINE uma tarefa de engenharia e mostra que o diagrama a compromete. Compreensibilidade pode ser um componente, mas a a definicao operacional correspondente diz que nao e sinonimo suficiente.","NAO usar quando o estudo mede so compreensao, preferencia ou satisfacao sem atividade de engenharia definida e sem criterio de sucesso: a a definicao operacional correspondente proibe codificar isso automaticamente como adequacao pragmatica. NAO confundir com o campo 7 GenerationTask, que e a tarefa do MODELO GERADOR e nao a tarefa do consumidor do diagrama.",Participantes encarregados de derivar casos de teste a partir do diagrama de estados falham porque as guardas nao sao disjuntas.,"Participantes declaram achar o diagrama confuso, sem tarefa definida e sem criterio de sucesso. Nao ha atividade de engenharia; nao codificar aqui.",construido,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,1.0
omission,OPERACAO_DE_DISCREPANCIA,Uma unidade presente no referencial nao esta representada no diagrama. E a operacao que se liga diretamente a completude semantica.,"Exige que a unidade ausente seja identificavel NO REFERENCIAL, e nao apenas sentida como falta pelo revisor.",NAO usar quando a unidade esta presente mas mal representada -- ai e incorrect representation. NAO usar quando a ausencia decorre de uma escolha de abstracao declarada e admissivel para o nivel do diagrama.,Os requisitos nomeiam o ator Auditor e nenhum ator correspondente aparece no diagrama.,"O ator aparece com o rotulo Fiscal. Esta presente, com nome divergente; e incorrect representation.",construido,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,1.0
unsupported addition,OPERACAO_DE_DISCREPANCIA,O diagrama contem unidade sem suporte no referencial.,"Exige demonstrar a AUSENCIA de suporte, e nao apenas que a unidade nao foi mencionada literalmente: inferencia legitima a partir do dominio nao e adicao sem suporte.",NAO usar quando a unidade tem suporte no referencial mas esta atribuida ao tipo errado -- ai e incorrect classification. NAO usar quando a unidade apenas repete conteudo ja presente -- ai e duplication ou redundancy.,Uma classe Pagamento num modelo cujos requisitos nao mencionam nem implicam pagamento.,Uma segunda classe representando o mesmo conceito de dominio ja modelado. O conceito TEM suporte no referencial; e duplication.,construido,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,1.0
intrinsic hallucination,OPERACAO_DE_DISCREPANCIA,"O diagrama afirma unidade que CONTRADIZ o referencial. Especializacao de unsupported addition no eixo do dominio, adotando o termo estabelecido na ES e na avaliacao de geracao de linguagem. ""Intrinsic"" e o valor usado quando o conflito e com a propria entrada.",Usar quando o estudo emprega a palavra hallucination E o conteudo contradiz o que a entrada diz. Exige exibir o trecho da entrada com que a unidade conflita.,"NAO usar para OMISSAO: faithfulness e completeness sao criterios complementares, entao deixar de fora o que a fonte exige e incompleteness e nunca alucinacao. NAO usar quando a fonte simplesmente nao se pronuncia -- ai e extrinsic hallucination. NAO usar quando o estudo nao emprega a palavra: registrar unsupported addition e deixar o termo nativo no campo 45.",Requisito diz que o pedido e cancelado apenas antes do envio; o diagrama de estados admite cancelamento a partir de Entregue.,"Uma classe Pagamento sem qualquer mencao a pagamento nos requisitos. A fonte nao contradiz, ela silencia; e extrinsic hallucination.",construido,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,1.1
extrinsic hallucination,OPERACAO_DE_DISCREPANCIA,"O diagrama afirma unidade que o referencial NAO PERMITE VERIFICAR, sem contradize-la. Especializacao de unsupported addition no eixo do dominio, com o termo estabelecido.","Usar quando o estudo emprega a palavra hallucination E o referencial e silente sobre a unidade, de modo que nem confirma nem nega.","NAO usar para omissao, pelo mesmo motivo de intrinsic hallucination. NAO usar quando ha conflito explicito com a entrada -- ai e intrinsic. NAO usar quando a unidade e inferencia legitima do dominio: a regra de unsupported addition exige demonstrar AUSENCIA de suporte, nao ausencia de mencao literal.","Uma classe Pagamento num modelo cujos requisitos nao mencionam nem implicam pagamento, reportada pelo estudo como hallucination.","Requisito exige notificar o cliente e o diagrama nao tem a operacao. E omission, e omissao nao e alucinacao.",construido,affected diagram; element; relation; property; constraint; sequence; state; transition; message; behavior; other type specific unit,1.1
