VenuePlanID,CoreOrConditional,VenueFamily,VenueOrJournal,ScopeDefinition,PlannedIntervalStart,PlannedIntervalEndRule,ActivationRule,ActivationStatus,UnitInstantiationStatus,Notes
MVP-MODELS-MAIN,CORE,MODELS,MODELS main conference,Every applicable year in the review interval,2022-01,FINAL_SEARCH_DATE,CORE_ALWAYS_ACTIVE,ACTIVE,PARTIAL,
MVP-MODELS-COMPANION,CORE,MODELS,MODELS Companion,Every applicable year in the review interval,2022-01,FINAL_SEARCH_DATE,CORE_ALWAYS_ACTIVE,ACTIVE,PARTIAL,
MVP-MODELSWARD,CORE,MODELSWARD,MODELSWARD,Every applicable year in the review interval,2022-01,FINAL_SEARCH_DATE,CORE_ALWAYS_ACTIVE,ACTIVE,COMPLETE,MODELSWARD units for verified 2022-2026 proceedings are instantiated; annual official pages are EVENT_LEVEL only and 2026 remains blocked by a partial PRIMARY_TOC.
MVP-SOSYM,CORE,SoSyM,Software and Systems Modeling,Every applicable year in the review interval,2022-01,FINAL_SEARCH_DATE,CORE_ALWAYS_ACTIVE,ACTIVE,NOT_STARTED,
MVP-IEEE-RE,CORE,IEEE RE,IEEE International Requirements Engineering Conference and directly related workshops,Every applicable year in the review interval,2022-01,FINAL_SEARCH_DATE,CORE_ALWAYS_ACTIVE,ACTIVE,PARTIAL,RE Main and REW Workshops units for 2022-2025 are concretely instantiated from controlled official publisher evidence; other applicable years remain pending documentary verification.
MVP-REFSQ,CORE,REFSQ,REFSQ,Every applicable year in the review interval,2022-01,FINAL_SEARCH_DATE,CORE_ALWAYS_ACTIVE,ACTIVE,NOT_STARTED,
MVP-ICSE-MAIN,CORE,ICSE,ICSE main conference,Every applicable year in the review interval,2022-01,FINAL_SEARCH_DATE,CORE_ALWAYS_ACTIVE,ACTIVE,NOT_STARTED,
MVP-ICSE-SEIP,CORE,ICSE,ICSE Software Engineering in Practice,Every applicable year in the review interval,2022-01,FINAL_SEARCH_DATE,CORE_ALWAYS_ACTIVE,ACTIVE,NOT_STARTED,
MVP-ICSE-RELATED-TRACKS,CORE,ICSE,Directly relevant ICSE tracks or workshops,Every applicable year in the review interval,2022-01,FINAL_SEARCH_DATE,CORE_ALWAYS_ACTIVE,ACTIVE,PENDING_SCOPE_RESOLUTION,Concrete related tracks or workshops must be documented before unit instantiation.
MVP-NLBSE,CORE,NLBSE,NLBSE,Every applicable year in the review interval,2022-01,FINAL_SEARCH_DATE,CORE_ALWAYS_ACTIVE,ACTIVE,PARTIAL,NLBSE units for verified 2022-2025 proceedings are being instantiated from controlled official publisher evidence; 2026 remains event-level only.
MVP-ESEM,CORE,ESEM,ESEM,Every applicable year in the review interval,2022-01,FINAL_SEARCH_DATE,CORE_ALWAYS_ACTIVE,ACTIVE,NOT_STARTED,
MVP-EASE,CONDITIONAL,EASE,EASE,Applicable years after formal activation,2022-01,FINAL_SEARCH_DATE,"Activate when the seed set or automated results demonstrate recurrent eligible studies or an indexing gap.",PENDING_TRIGGER_REVIEW,NOT_STARTED,Trigger review occurs in two phases under A002-R1: pre-discovery and post-screening/final-update.
MVP-EMSE,CONDITIONAL,EMSE,Empirical Software Engineering,Applicable years after formal activation,2022-01,FINAL_SEARCH_DATE,"Activate when the seed set or automated results demonstrate recurrent eligible studies or an indexing gap.",PENDING_TRIGGER_REVIEW,NOT_STARTED,Trigger review occurs in two phases under A002-R1: pre-discovery and post-screening/final-update.
MVP-ECMFA-STAF,CONDITIONAL,ECMFA/STAF,ECMFA and associated STAF events,Applicable years after formal activation,2022-01,FINAL_SEARCH_DATE,"Activate when model transformation, language engineering, or formal modeling studies are recurrent in the candidate corpus.",PENDING_TRIGGER_REVIEW,NOT_STARTED,Trigger review occurs in two phases under A002-R1: pre-discovery and post-screening/final-update.
MVP-SLE,CONDITIONAL,SLE,SLE,Applicable years after formal activation,2022-01,FINAL_SEARCH_DATE,"Activate when model transformation, language engineering, or formal modeling studies are recurrent in the candidate corpus.",PENDING_TRIGGER_REVIEW,NOT_STARTED,Trigger review occurs in two phases under A002-R1: pre-discovery and post-screening/final-update.
MVP-ASE,CONDITIONAL,ASE,ASE,Applicable years after formal activation,2022-01,FINAL_SEARCH_DATE,"Activate when at least two eligible studies are identified in the outlet or when a known eligible seed is not retrieved by the automated sources.",PENDING_TRIGGER_REVIEW,NOT_STARTED,Trigger review occurs in two phases under A002-R1: pre-discovery and post-screening/final-update.
MVP-FSE,CONDITIONAL,FSE,FSE,Applicable years after formal activation,2022-01,FINAL_SEARCH_DATE,"Activate when at least two eligible studies are identified in the outlet or when a known eligible seed is not retrieved by the automated sources.",PENDING_TRIGGER_REVIEW,NOT_STARTED,Trigger review occurs in two phases under A002-R1: pre-discovery and post-screening/final-update.
MVP-AUTOMATED-SOFTWARE-ENGINEERING,CONDITIONAL,Automated Software Engineering,Automated Software Engineering,Applicable years after formal activation,2022-01,FINAL_SEARCH_DATE,"Activate when at least two eligible studies are identified in the outlet or when a known eligible seed is not retrieved by the automated sources.",PENDING_TRIGGER_REVIEW,NOT_STARTED,Trigger review occurs in two phases under A002-R1: pre-discovery and post-screening/final-update.
