Year,TrackType,BibTeXStatus,PDFPackageStatus,PrimaryTOCStatus,VenueCrosscheckStatus,DocumentaryCollectionReadiness,RequiredNextEvidence,Notes
2022,MAIN,RECEIVED,RECEIVED,REQUIRED,REQUIRED,WAITING_FOR_MULTIPLE_EVIDENCE,Official publisher TOC and official venue accepted-papers/program page,Publisher metadata export and controlled PDF package were validated but do not define membership.
2022,COMPANION,RECEIVED,PARTIALLY_RECEIVED,REQUIRED,REQUIRED,WAITING_FOR_MULTIPLE_EVIDENCE,Official publisher TOC and official venue accepted-papers/program page,Three controlled packages contain 122 PDF members with 12 repeated member hashes; completeness cannot be inferred without the official TOC.
2023,MAIN,NOT_RECEIVED,NOT_RECEIVED,NOT_CHECKED,NOT_CHECKED,NOT_ASSESSED,Official proceedings identity and evidence must be acquired in a separate collection task,No evidence was received in this intake.
2023,COMPANION,NOT_RECEIVED,NOT_RECEIVED,NOT_CHECKED,NOT_CHECKED,NOT_ASSESSED,Official proceedings identity and evidence must be acquired in a separate collection task,No evidence was received in this intake.
2024,MAIN,ALREADY_REGISTERED,RECEIVED,ALREADY_REGISTERED,ALREADY_REGISTERED,ALREADY_COMPLETE,None,An additional complete HTML snapshot was received and recorded as a documentary duplicate of the existing PRIMARY_TOC; the validated pilot was not modified.
2024,COMPANION,RECEIVED,RECEIVED,REQUIRED,REQUIRED,WAITING_FOR_MULTIPLE_EVIDENCE,Official publisher TOC and official venue accepted-papers/program page,Four unique controlled packages contain 156 PDF members; membership still requires the official TOC.
2025,MAIN,NOT_RECEIVED,NOT_RECEIVED,NOT_CHECKED,NOT_CHECKED,NOT_ASSESSED,Official proceedings identity and evidence must be acquired in a separate collection task,No evidence was received in this intake; publication status was not inferred.
2025,COMPANION,NOT_RECEIVED,NOT_RECEIVED,NOT_CHECKED,NOT_CHECKED,NOT_ASSESSED,Official proceedings identity and evidence must be acquired in a separate collection task,No evidence was received in this intake; publication status was not inferred.
2026,MAIN,NOT_RECEIVED,NOT_RECEIVED,NOT_CHECKED,NOT_CHECKED,NOT_ASSESSED,Official proceedings identity and evidence must be acquired in a separate collection task,No evidence was received in this intake; publication status was not inferred.
2026,COMPANION,NOT_RECEIVED,NOT_RECEIVED,NOT_CHECKED,NOT_CHECKED,NOT_ASSESSED,Official proceedings identity and evidence must be acquired in a separate collection task,No evidence was received in this intake; publication status was not inferred.
